POSSIBILITY,TUITION FEES BUDGET,OVERALL BUDGET,STATE,COLLEGE,UNIVESITY NAME,TYPE,YEAR,SEATS,OVERVIEW,WEBSITE,TUITION FEE,"HOSTEL CHARGES
P.A.",ANNUAL,ONE TIME,TUITION PACKAGE,GRAND TOTAL,TYPE,QUOTA,"OPENING RANK
2023","CLOSING RANK
2023",OPENING SCORE,CLOSING SCORE
POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,ANDHRA PRADESH,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, CHITTOOR",Dr. YSR University of Health Sciences,Society,2016,150,"- This medical college is recognized by the NTR University of Health Science – Vijayawada, Andhra Pradesh.
- The Apollo Institute of Medical Sciences and Research offers academically various kind of structured training programs are using in this teaching Method they are including with Didactic Lectures, Group Discussions, Demonstrations, Tutorials, Practicals, Seminars, Symposium, Quiz Programmes and Integrated Teaching Methods are used in academic wise for teaching the students.
- Apollo Institute of Medical Sciences and Research Provides 150 Seats for MBBS Course with 207 Well Experienced Teaching Staffs working in Various Departments such as Professors, Assistant Professors, Associate Professors, Tutors, and More Knowledged Faculties for teaching the Students.",https://aimsrchittoor.edu.in/,"₹ 13,60,000.00","₹ 92,600.00","₹ 1,50,000.00",,"₹ 61,20,000.00","₹ 65,36,700.00",PRIVATE,CAT B2,103753,236562,396,505
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KERELA,"MMH : MALABAR MEDICAL COLLEGE HOSPITAL, KOZHIKKODE","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2010,200,"- Necessary permissions were obtained from the Government of Kerala, National Medical Commission, and Kerala University of Health Sciences for the additional intake.
- MD/MS courses in various specialties started in 2021 after discontinuing DNB courses.
- Currently, there are 54 postgraduate seats across 18 specialties 
- The college is known for its talented pool of doctors from Government Medical College, Kozhikode.
- MMC is regarded as an annex of Government Medical College, Kozhikode.
- MMC is among the top private medical colleges in Kerala.
",https://mmchospital.in/,"₹ 7,77,179.48","₹ 1,20,000.00","₹ 1,00,000.00",,"₹ 34,97,307.66","₹ 44,87,307.66",PRIVATE,SM,46032,71841,540,574
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KERELA,"SMC : DR. SOMERVELL MEMORIAL CSI MEDICAL COLLEGE, KARAKONAM.","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2001,150,"- The college is attached to the Dr. Somervell Memorial Mission Hospital located in Karakonam, in the southern border of Thiruvananthapuram District, Kerala.
- The institution is run by the South Kerala College of the Church of South India (SIUC) and managed by the South Kerala Medical Mission.
- The hospital, including the OPD, covers an area of 50,062 sq.mt, while the hostel and residential complex cover 27,218 sq.mt.
- There is an air-conditioned Central Library(2638 sq.mt) with seating for 300 students, equipped with good lighting and ventilation.
- The library houses 12,983 books and subscribes to 40 journals.
- An air-conditioned computer room with Medlar and Internet facility is available, featuring 40 nodes.",https://www.smcsimch.ac.in/,"₹ 6,39,528.00","₹ 1,14,200.00","₹ 1,00,000.00",,"₹ 28,77,876.00","₹ 38,41,776.00",PRIVATE,SM,42458,56869,559,579
NOT POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,ANDHRA PRADESH,"DR. PINNAMANENI SIDDHARTHA INSTITUTE OF MEDICAL SCIENCES, GANNAVARAM",Dr. YSR University of Health Sciences,Trust,2002,150,"- The teaching hospital has 790 beds, and there's also a nursing college with 100 admissions, along with hostels for men and women and staff quarters.
- Total constructed building area is around 12 lakhs sq. ft., with amenities such as uninterrupted power and water supply, a food court, and State of Art Laboratories for both students and patient care.
- Organ transplantation and knee replacements are performed regularly, and laboratory diagnostic procedures are conducted at no profit or loss to the hospital.
",https://drpinnamanenisimsrf.edu.in/,"₹ 13,20,000.00","₹ 1,35,000.00","₹ 1,55,000.00",,"₹ 59,40,000.00","₹ 65,47,500.00",PRIVATE,CAT B2,91682,196557,424,518
POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,ANDHRA PRADESH,"MAHARAJA INSTITUTE OF MEDICAL SCIENCES, VIZIANAGARAM",Dr. YSR University of Health Sciences,Trust,2002,200,"- It is the first and only teaching hospital in the region, aiming to address the lack of healthcare facilities in Vizianagaram.
- Vizianagaram district has a significant rural population with limited access to medical services prior to the establishment of MIMS.
- The hospital is spread across two blocks totaling 200,000 sq.ft and occupies an area of 310,000 sq.ft with 840 beds.
- MIMS aims to provide healthcare services to underserved areas, including the tribal belt of Araku, as part of its outreach efforts.",https://mimsvzm.org/,"₹ 13,20,000.00","₹ 1,39,500.00","₹ 1,60,000.00",,"₹ 59,40,000.00","₹ 65,67,750.00",PRIVATE,CAT B2,181829,308634,353,435
POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,ANDHRA PRADESH,"KONASEEMA INSTITUTE OF MEDICAL SCIENCES AND RESEARCH FOUNDATION , AMALAPURAM","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,2005,150,"- KIMS is an 850 bedded ultramodern multi-specialty hospital.
- Serves the healthcare needs of the local community of Konaseema spread across 17 mandals and 214 villages.
- Features frequent visits by renowned specialists from reputed institutions like AIIMS, NIMS, and international universities.                                                                                                                                                       - 850 Bedded Super specialty Hospital
",https://kims.in/,"₹ 13,20,000.00","₹ 1,40,000.00","₹ 1,50,000.00",,"₹ 59,40,000.00","₹ 65,70,000.00",PRIVATE,CAT B2,135288,253921,385,474
NOT POSSIBLE,UNDER BUDGET,EXCEEDS BUDGET,CHATTISGARH,SHRI SHANKARACHARYA IMS BHILAI,"Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Society,2016,150,"The First Medical Institution in India to be named after Adi- Shri Shankaracharya and blessed by all present Jagadgurus.
SHRI SHANKARACHARYA INSTITUTE OF MEDICAL SCIENCES is managed by SHRI GANGAJALI EDUCATION SOCIETY which has as its member, an outstanding technocrat & educationist. The society has been running and managing a number of educational institutions offering UG/PG courses in Engineering & Technology/Pharmacy/Management/Computer Applications /Education/Nursing /Arts/Commerce/Science and from KG1 to 12th Exam. The Society has all the where withal to run the medical college strictly adhering to the norms/standards/guide lines as prescribed by MCI.",https://www.ssimsb.ac.in/,"₹ 7,99,187.00","₹ 2,77,700.00","₹ 2,75,000.00",,"₹ 35,96,341.50","₹ 60,83,491.50",PRIVATE,PMQ UR-NC,31414,110959,498,596
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,KARNATAKA,"SRI CHAMUNDESHWARI MEDICAL COLLEGE, HOSPITAL AND RESEARCH INST,CHANNAPATNA, RAMANAGARA","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2023,150,"Sri Chamundeshwari Medical College Hospital & Research Institute was established under Sri Ranga Educational Trust, Bengaluru for the sole purpose of providing Quality Education and Superlative Healthcare Services to the rural and deserving people. With 400 functioning beds, 70+ ICUs, Modular OTs and state of art infrastructure, Cutting Edge Diagnostics and Laboratory services, skilled support staff, very competent and experienced faculty , the college and the hospital has made tremendous strides in providing health care delivery in a very short span of time",https://college.scmch.org/,"₹ 10,92,852.00","₹ 2,00,000.00","₹ 15,000.00",,"₹ 49,17,834.00","₹ 58,85,334.00",PRIVATE,OPN,27473,92561,517,602
NOT POSSIBLE,UNDER BUDGET,EXCEEDS BUDGET,CHATTISGARH,"SHRI BALAJI INSTITUTE OF MEDICAL SCIENCE, RAIPUR",Pandit Deendayal Upadhyay Memorial Health Science & Ayush University of Chattisgarh,Society,2021,150,The humanitarian journey of the hospital began with the utmost commitment to sustain & preserve quality human lives by the launch of a 1500 bedded state of art sophistically equipped Shri Balaji Super Speciality Hospital in 2012. With the passage of 15 successive years it grew & developed into an overall bed strength of 1500 & educational oracle with an employee strength of 2000 which is the largest in Central India. Now we are growing into one of the prestigious private Medical College of India.,https://shribalajimedicalcollege.com/,"₹ 7,50,187.00","₹ 5,00,000.00","₹ 2,20,000.00",,"₹ 33,75,841.50","₹ 66,15,841.50",PRIVATE,PMQ UR-NC,32939,103091,506,593
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KERELA,"SUC : SUT ACCADEMY OF MEDICAL SCIENCES , THIRUVANANTHAPURAM.","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2006,150,"- Sri Uthradom Thirunal Hospital was inaugurated in 1987 by the Chief Minister of Kerala.
- The hospital was established when tertiary care facilities were scarce in the region.
- Sri Uthradom Thirunal (SUT) Academy of Medical Science was established in 2006.
- The academy is situated on 30 acres of beautifully landscaped grounds.
- The aim of the SUT Academy is to provide quality professional medical education to every student who joins the institute.",https://sutams.edu.in/,"₹ 7,77,179.48","₹ 1,20,000.00","₹ 1,00,000.00",,"₹ 34,97,307.66","₹ 44,87,307.66",PRIVATE,SM,40134,88090,522,582
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KERELA,"TRM : TRAVANCORE MEDICAL COLLEGE, UMAYANALLOOR, KOLLAM.","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2009,150,"Travancore Medical College Hospital is a unit of Quilon Medical Trust which is a charitable organisation.
It has an established centre of excellence in healthcare, education, research and patient-care, Travancore Medical College Hospital (TMCH) is located in Medicity in Kollam, Kerala.",https://tmc.ac.in/,"₹ 7,71,370.08","₹ 1,20,000.00","₹ 1,00,000.00",,"₹ 34,71,165.36","₹ 44,61,165.36",PRIVATE,SM,48379,54147,563,570
POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,ANDHRA PRADESH,"GSL MEDICAL COLLEGE, RAJAMAHENDRAVARAM",Dr. YSR University of Health Sciences,Trust,2002,250,"- GSL Medical College & General Hospital is a premier private medical institution recognized by MCI/Government of India.
- Situated in Rajamahendravaram, Andhra Pradesh, GSL is located on 85 acres near National Highway-16.
- The college and hospital have well-ventilated buildings, lush green lawns, and beautiful gardens.
- GSL General Hospital offers super-specialty departments alongside broad specialties.
- With 1080 beds, the hospital aims to provide advanced healthcare to the poor at affordable rates and seeks alliances with reputed universities and healthcare centers nationally and internationally.",https://www.gslmc.com/,"₹ 13,20,000.00","₹ 1,57,000.00","₹ 1,58,000.00",,"₹ 59,40,000.00","₹ 66,46,500.00",PRIVATE,CAT B2,104676,204437,418,504
POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,ANDHRA PRADESH,"VISWABHARATHI MEDICAL COLLEGE, KURNOOL",Dr. YSR University of Health Sciences,Society,2014,150,"- Viswabharathi Medical College is situated on the highway road linking Kurnool city to Kodumur, specifically located at Penchikalapadu, approximately 20 km from Kurnool bus station.
- Viswabharathi Medical College have intake of 150 MBBS admissions annually from the year 2014.
- The college is recognized by Govt of India and National Medical Council and is affiliated by Dr.NTR University of Health Sciences, Vijayawada, AndhraPrades",http://vmcknl.in/,"₹ 13,20,000.00","₹ 1,65,000.00","₹ 1,50,000.00",,"₹ 59,40,000.00","₹ 66,82,500.00",PRIVATE,CAT B2,126854,351665,331,482
NOT POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,ANDHRA PRADESH,"NARAYANA MEDICAL COLLEGE, NELLORE",Dr. YSR University of Health Sciences,Trust,2000,250,"- Narayana Medical College was Established in 2000 by Narayana Educational Institutions, founder of Dr.P.Narayana.
- Nellore, based in Narine Medical Institution, is a dream project of Dr.P.Narayana, A missionary with a high level of education and vision.
- Narayana Medical College is a higher education institute with three functions: education, service and research.
In addition to offering degrees in medicine, the university provides an environment for learning and innovation through health professionals and health sciences and comprehensive medical care.",https://www.narayanamedicalcollege.com/,"₹ 13,20,000.00","₹ 1,75,000.00","₹ 1,50,000.00",,"₹ 59,40,000.00","₹ 67,27,500.00",PRIVATE,CAT B2,88001,175496,440,522
POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,ANDHRA PRADESH,"NRI INSTITUTE OF MEDICAL SCIENCES, VISAKHAPATNAM",Dr. YSR University of Health Sciences,Trust,2012,150,"- NRI Institute of Medical Sciences was established in the academic year 2012-13.
- Anil Neerukonda Hospital, established in 2005 with 300 beds, upgraded to a teaching hospital with 650 beds and 10 specialties.
- Affiliated with Dr. YSR University of Health Sciences.
- Campus spread across 10.75 lakh sq.ft, including college, hospital, staff quarters, and hostels.
- Equipped with a state-of-the-art library with 15,000 books, an E-library, and an Evaluation center.",https://nriims.com/,"₹ 13,20,000.00","₹ 1,87,000.00","₹ 1,55,000.00",,"₹ 59,40,000.00","₹ 67,81,500.00",PRIVATE,CAT B2,115735,271382,374,493
POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,ANDHRA PRADESH,"SRI BALAJI MEDICAL COLLEGE HOSPITAL AND RESEARCH INSTITUTE , RENIGUNTA, TIRUPATI",Dr. YSR University of Health Sciences,Trust,2005,150,"- The college boasts state-of-the-art infrastructure, including well-equipped departments, laboratories, classrooms, and separate hostels for students.
- The institution focuses on practical, interactive teaching methods and has a dedicated faculty renowned for their expertise and teaching experience.
- With 350 teaching beds, the hospital provides high-quality medical services, including trauma care and free treatment for the needy.
- SBMCH emphasizes comprehensive training through classroom teaching, seminars, hands-on experience, and museum visits, supported by a well-equipped library and nursing school.",https://sbmch.org/,"₹ 13,20,000.00","₹ 2,00,000.00","₹ 2,10,000.00",,"₹ 59,40,000.00","₹ 68,40,000.00",PRIVATE,CAT B2,141403,317164,349,469
NOT POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,ANDHRA PRADESH,"NRI MEDICAL COLLEGE, CHINNAKAKANI",Dr. YSR University of Health Sciences,Trust,2003,200,"- NRI Academy of Sciences is founded by a consortium of 32 NRI doctors from the USA, all originally from Guntur and Krishna Districts of Andhra Pradesh.
- Situated in a sprawling campus, the college and hospital boast a total built-up area of 12,00,000 sq.ft, including 8 buildings with fully-equipped laboratories and air-conditioned lecture halls.
- The teaching hospital has 1050 beds, meeting the norms set by the National Medical Commission (NMC), and employs renowned professionals from across India as part of its teaching staff.",http://www.nrias.net/,"₹ 13,20,000.00","₹ 45,000.00","₹ 1,83,000.00",,"₹ 59,40,000.00","₹ 69,66,000.00",PRIVATE,CAT B2,69764,118346,490,543
POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,ANDHRA PRADESH,"GAYATRI VIDYA PARISHAD INST. OF HEALTH CARE AND MEDICAL TECHNOLOGY, VISAKHAPATNAM",Dr. YSR University of Health Sciences,Society,2016,200,"- Gayatri Vidya Parishad Hospital aims to provide accessible and affordable healthcare services with a smile, while also serving as a teaching hospital for GVP Medical College.
- Located on National Highway 16, the hospital caters to the expanding northern regions of Greater Visakhapatnam Municipal Corporation and neighboring areas.
- Outreach services extend to a rural health center at B.P. Kallalu and an urban city center near Pedda Waltair junction.
- GVP Medical College, affiliated with Dr. NTR University of Health Sciences, Vijayawada, was established in 2016 with an annual intake of 150 MBBS students and plans to offer postgraduate courses in broad specialties.
",https://gvpmc.in/,"₹ 14,00,000.00","₹ 1,50,000.00","₹ 1,50,000.00",,"₹ 63,00,000.00","₹ 69,75,000.00",PRIVATE,CAT B2,149703,303236,356,461
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,BIHAR,"KATIHAR MEDICAL COLLEGE, KATIHAR","Al-Karim University, Katihar",Trust,1987,150,"- Katihar Medical College campus spans 55 acres .
- The total built-up area of the campus is nearly 900,000 square feet, housing various facilities including teaching areas, hospitals, hostels, laboratories, and residential quarters for staff.
- Hospital facilities include emergency and casualty services, OPD, a 600-bed hospital with modern operation theaters, radiology with advanced equipment such as MRI, DSA, CT Scan, and mammography, along with X-ray, microbiology, pathology, and biochemistry labs.
- The teacher-student ratio is maintained at 1:2, ensuring personalized attention and guidance.
- The college library, covering an area of about 17,500 square feet, offers well-furnished reading rooms and a vast collection of text and reference books on various medical sciences topics.
",https://kmckatihar.org/,"₹ 9,35,000.00","₹ 2,50,000.00","₹ 1,88,000.00",,"₹ 42,07,500.00","₹ 53,32,500.00",PRIVATE,GENERAL UR,25261,112032,,
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,KARNATAKA,"KANACHUR INSTITUTE OF MEDICAL SCIENCES AND RESEARCH CENTRE,UNIVERSITY ROAD,NATEKAL POST,MANGALORE","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2016,150,"The Kanachur Institute Of Medical Science Centre was started in 2015. The Medical Council of India (MCI) and the Government of Karnataka both approve of NAAC. The Kanachur Institute Of Medical Science  is in Mangalore, Karnataka. The college offers undergraduate and graduate medical studies like MBBS, MD, MS, and others. Admission to MBBS and other medical fields is based on the results of the NEET UG and NEET PG examinations.
KIMS has a modern building with well-equipped classrooms, labs, and other tools that are needed for medical education. The college is linked to Kanachur Hospital & Research Centre, which is a teaching hospital where students can get hands-on experience and learn about different various medical fields.",https://www.kanachurims.com/,"₹ 10,92,852.00","₹ 1,50,000.00","₹ 15,000.00",,"₹ 49,17,834.00","₹ 56,60,334.00",PRIVATE,OPN,32198,105910,503,595
POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,BIHAR,"LORD BUDHA KOSHI MEDICAL COLLEGE & HOSPITAL, SAHARSA",B.N. Mandal University,Trust,2019,100,"- Lord Buddha Koshi Medical College & Hospital is situated on a sprawling campus spanning 30 acres of land in the heart of the Kosi region of Bihar.
- The hospital has a capacity of over 470 beds and is equipped with modern instruments in all departments, including a modern ICU, operation theaters, and emergency and casualty services.
- The college building houses Non-Clinical & Para-clinical Departments, while the Clinical Departments are located in the Hospital Block.
- Each department is equipped with labs, demonstration rooms, research labs, and a richly decorated museum, all of which are spacious and well-provided with the necessary instruments.",https://lbkmch.org/,"₹ 12,00,000.00","₹ 4,00,000.00","₹ 53,000.00",,"₹ 54,00,000.00","₹ 72,00,000.00",PRIVATE,GENERAL UR,105071,597965,,
POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,BIHAR,"MADHUBANI MEDICAL COLLEGE , MADHUBANI","Aryabhatta Knowledge University, Patna",Trust,2019,150,"- Madhubani Medical College was founded by Visionary Educationist Dr. Faiyaz Ahmad, who has been dedicated to improving education quality and providing the best facilities to students in the region for the last 30 years.
- The campus covers 25 acres and includes a fully equipped and operational 600-bed hospital.
- The unitary campus includes a college building, hospital building, hostels for students, residents, and nurses, as well as quarters for teaching and non-teaching staff.",https://mmcworld.org/,"₹ 14,00,000.00","₹ 3,00,000.00","₹ 1,50,000.00",,"₹ 63,00,000.00","₹ 76,50,000.00",PRIVATE,GENERAL UR,82667,857055,,
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,BIHAR,"MATA GUJRI MEMORIAL MEDICAL COLLEGE, KISHANGANJ",B.N. Mandal University,Trust,1990,100,"- Mata Gujri Memorial Medical College, Kishanganj, Bihar, has a fully functional 610-bed hospital equipped with advanced technology.
- The hospital is housed in a seven-storey complex, containing various departments and their respective wards.
- The College has six fully air-conditioned lecture theatres, each with a seating capacity of 200.
- The college boasts an excellent, fully air-conditioned, and digitalized library with a built-up area of 1,600 square meters and a seating capacity of 500 in five reading halls and two computer labs.
- The library contains over 11,221 books, including medical textbooks and reference books.
",https://www.mgmmckishanganj.in/,"₹ 9,63,000.00","₹ 2,00,000.00","₹ 2,50,000.00",,"₹ 43,33,500.00","₹ 52,33,500.00",PRIVATE,GENERAL UR,26946,160496,,
NOT POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,TRIPURA,"TRIPURA MEDICAL COLLEGE & DR. BRAM TEACHING HOSPITAL, HAPANIA, AGARTALA",Tripura University,Trust,2006,100,"The Tripura Medical College and Dr. BRAM Teaching Hospital is situated at Hapania, West Tripura, which was once a small village and is about 7 KM away from Agartala. The area is now included under the Agartala Municipal Corporation.
Initially, there was a State level Hospital here. Later, the State Government decided to establish a Medical College taking the said Hospital as Teaching Hospital and accordingly in the year 2005, on the approach of the State Government, the Global Educational Net (GENET) came forward and established a Medical College in PPP Model with intake capacity of 100 students in 1st year MBBS course with teaching hospital of 300 beds. The State Government provided GENET 25 acres of land and also allowed GENET to utilize existing State hospital as its teaching hospital.",https://www.tmc.nic.in/,"₹ 13,50,000.00","₹ 60,000.00","₹ 79,530.00",,"₹ 60,75,000.00","₹ 63,45,000.00",PRIVATE,AIQ-UR,69282,165578,448,544
POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,BIHAR,"NARAYAN MEDICAL COLLEGE & HOSPITAL, SASARAM",Gopal Narayan Singh University,Trust,2008,250,"- The campus spans 25 acres and includes a full-fledged Medical College and Hospital.
- The hospital has over 1150 beds.
- The OPD, featuring a computerized registration system, sees a large daily patient inflow.
- The hospital has a dedicated OT complex with 14 well-equipped operation theaters for laparoscopy surgery, Endoscopy, Arthroscopy, and Lithotripsy.
- The hospital provides its own transportation services for patients and students.
- There are separate hostels for boys and girls.
- The college offers adequate recreational facilities and playing grounds with sports materials for students. Both indoor and outdoor sport facilities are available.",https://nmch.ac.in/,"₹ 10,38,000.00","₹ 3,00,000.00","₹ 2,00,000.00",,"₹ 46,71,000.00","₹ 60,21,000.00",PRIVATE,GENERAL UR,26945,459036,,
POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,BIHAR,NETAJI SUBHAS MEDICAL COLLEGE & HOSPITAL,"Aryabhatta Knowledge University, Patna",Society,2020,100,"- Netaji Subhas Medical College & Hospital is established by Sitwanto Devi Mahila Kalyan Sansthan at Amhara, Bihta, Patna, under the visionary leadership of Chairman Shri M.M Singh.
- The college fosters talent and encourages creativity among students, supported by a team of over 160 experienced and well-learned faculty and doctors.
- The classrooms are aesthetically designed and equipped with smart boards and advanced audio-video systems, ensuring an optimal learning environment. Additionally, they are centrally air-conditioned for student comfort.
- The college boasts an excellent central library facility, covering a floor area of 3000 sq. meters, with a vast collection of over 24,800 volumes and subscriptions to national and international journals essential for undergraduate education.",https://nsmch.com/,"₹ 16,25,000.00","₹ 3,20,000.00","₹ 50,000.00",,"₹ 73,12,500.00","₹ 87,52,500.00",PRIVATE,GENERAL UR,94872,942354,,
NOT POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,MAHARASTRA,"RURAL MEDICAL COLLEGE AND PIMS, LONI,AT - LONI BK TAL - RAHATA DIST - AHMEDNAGAR MAHARASHTRA STATE, INDIA PIN-413736 (NEAR SHIRD, MAHARASHTRA, 413736","Pravara Institute of Medical Sciences (Deemed University), Ahmednagar",Trust,1984,200,"The objective of the Institute is to lay a foundation and create advanced academic and research environment for medical and other health science manpower that would identify and deal effectively with peculiar problems faced in implementing a comprehensive rural health care package in the country. Appropriate, relevant and up-to-date knowledge and skills are made available to grass roots level community members to post doctoral research workers in medical and health sciences.
The Institute has emerged as an alternative to traditional medical and health care programs through internationalization, innovation in academic and research studies and attained Deemed University status in 2003.",https://www.pravara.com/rural-medical-college.html,"₹ 17,50,000.00","₹ 1,60,500.00",,,"₹ 78,75,000.00","₹ 85,97,250.00",Deemed/ Paid Seats Quota,OPEN,78205,153745,533,458
POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,BIHAR,"SHRI NARAYAN MEDICAL INSTITUTE & HOSPITAL, SAHARSA","Bhupendra Narayan Mandal University, Madhepura",Trust,2021,150,"- The institute has seen rapid development, with infrastructure and education facilities continuously improving.
- Currently, operates a hospital with 600 beds and modern treatment and diagnostic facilities.
- with more than 172 well-qualified and experienced faculties contributing to the institution.",https://snmih.in/,"₹ 13,00,000.00","₹ 3,50,000.00","₹ 3,00,000.00",,"₹ 58,50,000.00","₹ 74,25,000.00",PRIVATE,GENERAL UR,110896,891196,,
POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,TELANGANA,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK",Dr. YSR University of Health Sciences,Society,2016,150,"Maheshwara Medical College, is situated in Chitkul, Patancheruvu, in the Sangareddy District of Telangana. Maheshwara Medical College offers a range of courses including MBBS, MD, and MS in various specialties. The college boasts a comprehensive hostel facility catering to both male and female students. With a robust hospital infrastructure comprising 784 beds, including 760 teaching beds, Maheshwara Medical College ensures ample practical exposure for its students. The hospital witnesses a substantial daily patient flow, averaging 1686 patients over the past 12 months, indicating its significance in providing healthcare services to the community. Renowned for its quality education and infrastructure, the college has garnered a commendable rating of 4 out of 5 among private medical colleges, solidifying its position as a leading institution in the region.",https://www.maheshwaramedical.com/,"₹ 11,55,000.00","₹ 1,00,000.00","₹ 2,26,000.00",,"₹ 51,97,500.00","₹ 56,47,500.00",PRIVATE,CTB-UNR-OPEN-GEN (NL-NON LOCAL),86170,296548,360,524
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,TELANGANA,"DR PATNAM MAHENDER REDDY INST OF MED SCI, CHEVELLA","Kaloji Narayana Rao University of Health Sciences, Warangal",Society,2019,150,"The Dr. Patnam Mahender Reddy Institute of Medical Sciences & Dr. Patnam Mahender Reddy Hospital, established under the Rinish Educational Society, features a 750-bedded ultra-modern hospital delivering general and specialized healthcare services. Strategically located to cater to the healthcare needs of Chevella, Ranga Reddy, and Telangana State, it offers free-of-cost services to the deserving and needy patients. The hospital boasts well-equipped clinical departments and a central clinical lab capable of diagnosing up to 1200 patients daily. With 24 modern wards and 12 state-of-the-art operation theaters, it accommodates up to 580 inpatients and conducts surgeries efficiently. Additionally, it provides intensive care units (ICU, ICCU, NICU, PICU, SICU) with advanced facilities, while its casualty block ensures round-the-clock emergency care. Through signed MOUs with major hospitals, the institute extends access to expert specialists for the regional population.",https://pmrims.com/,"₹ 11,55,000.00","₹ 1,00,000.00","₹ 33,500.00",,"₹ 51,97,500.00","₹ 57,98,250.00",PRIVATE,CTB-UNR-OPEN-GEN (NL-NON LOCAL),91909,128202,481,518
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,TELANGANA,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,2022,150,"Prathima Relief Institute of Medical Sciences, commonly known as PRIMS Telangana is a government institute located in Warangal, Telangana. Affiliated with Kaloji Narayana Rao University of Health Sciences and approved by the National Medical Commission (NMC), PRIMS offers the coveted MBBS program. The institute's commitment to excellence is reflected in its rankings, with notable positions in various categories such as the Open Management Ranking (75), NRI/OCI Ranking (32), and Telangana State Ranking (40). Admissions are conducted through NEET UG exams, with counselling overseen by Kaloji Narayana Rao University of Health Sciences. Alongside academic rigor, PRIMS prioritizes student welfare, offering hostel facilities to ensure a conducive learning environment. For those aspiring to pursue medical education in a reputable institution, PRIMS stands as a promising choice, fostering the growth of future healthcare professionals. More information about the institute can be found on their website: ",https://www.primswarangal.com/,"₹ 11,55,000.00","₹ 1,30,000.00","₹ 10,000.00",,"₹ 51,97,500.00","₹ 58,27,500.00",PRIVATE,CTB-UNR-OPEN-GEN (NL-NON LOCAL),100940,130714,479,508
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,TELANGANA,"MAMATA MEDICAL COLLEGE, KHAMMAM","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1998,200,"Mamata Medical College & Super Specialty Hospital, known as MMC Khammam, is situated in Rotary Nagar, Khammam Urban, Khammam District Affiliated with Kaloji Narayana Rao University of Health Sciences (KNRUHS) in Warangal and approved by the National Medical Commission (NMC) in New Delhi, MMC Khammam offers a range of courses including MBBS, MD, and MS in various specialties. The academic sessions for MBBS and PG (MD, MS) The college provides hostel facilities for both male and female students, ensuring a conducive learning environment. With an impressive hospital bed capacity of 1080, including 980 teaching beds, and a daily patient flow averaging 1886 over the past year, MMC Khammam caters to the medical needs of the community while offering ample opportunities for clinical exposure to its students. The institution has earned a commendable rating of 4.2/5 among private medical colleges, reflecting its commitment to excellence in medical education and healthcare delivery.",https://mamatamedicalcollege.com/,"₹ 12,00,000.00","₹ 55,000.00","₹ 40,000.00",,"₹ 54,00,000.00","₹ 58,27,500.00",PRIVATE,CTB-UNR-OPEN-GEN (NL-NON LOCAL),73487,131427,478,538.5
